Model,Precision,Recall,F1,AUC
XGBoost,0.49707602339181284,0.8673469387755102,0.6319702602230484,0.9803720728584062
RandomForest,0.7241379310344828,0.8571428571428571,0.7850467289719626,0.9800528364131246
LogisticRegression,0.20763723150357996,0.8877551020408163,0.3365570599613153,0.9669872908364247
