,importance
V14,0.5065995
V10,0.09550173
V4,0.043473493
V12,0.03367198
V8,0.026716253
V17,0.025798673
V13,0.021505153
V18,0.016736599
V1,0.014837656
Amount,0.014551977
V24,0.013923421
Time,0.013098235
V11,0.013090736
V26,0.01244141
V3,0.012304648
V19,0.011301553
V5,0.010854123
V2,0.010651757
V28,0.010344828
V20,0.010327788
V7,0.009644128
V21,0.009572599
V22,0.009187286
V23,0.009173052
V15,0.008639616
V25,0.008318959
V27,0.007925333
V6,0.0071293465
V9,0.006905365
V16,0.0057726
